FechayHora ; AlturaCeneha ; AlturaPrefectura
27/09/2017 00:00 ; 2.37 ; 2.34
28/09/2017 12:00 ; 2.42 ; 2.44
28/09/2017 00:00 ; 2.4 ; 2.4
29/09/2017 12:00 ; 2.47 ; 2.46
29/09/2017 00:00 ; 2.45 ; 2.44
30/09/2017 00:00 ; 2.47 ; 2.46
01/10/2017 12:00 ; 2.57 ; 2.5
01/10/2017 00:00 ; 2.51 ; 2.47
02/10/2017 12:00 ; 2.66 ; 2.6
02/10/2017 00:00 ; 2.61 ; 2.52
03/10/2017 12:00 ; 2.73 ; 2.72
03/10/2017 00:00 ; 2.68 ; 2.66
04/10/2017 00:00 ; 2.76 ; 2.72
05/10/2017 12:00 ; 2.83 ; 2.74
05/10/2017 00:00 ; 2.8 ; 2.74
06/10/2017 12:00 ; 2.89 ; 2.83
06/10/2017 00:00 ; 2.84 ; 2.76
07/10/2017 12:00 ; 2.85 ; 2.83
07/10/2017 00:00 ; 2.85 ; 2.83
08/10/2017 12:00 ; 2.79 ; 2.8
08/10/2017 00:00 ; 2.79 ; 2.83
09/10/2017 12:00 ; 2.77 ; 2.77
09/10/2017 00:00 ; 2.75 ; 2.78
10/10/2017 12:00 ; 2.74 ; 2.74
10/10/2017 00:00 ; 2.74 ; 2.77
11/10/2017 12:00 ; 2.73 ; 2.72
11/10/2017 00:00 ; 2.72 ; 2.74
12/10/2017 12:00 ; 2.72 ; 2.71
14/10/2017 12:00 ; 2.73 ; 2.74
14/10/2017 00:00 ; 2.69 ; 2.74
15/10/2017 12:00 ; 2.76 ; 2.74
15/10/2017 00:00 ; 2.72 ; 2.74
16/10/2017 12:00 ; 2.79 ; 2.74
16/10/2017 00:00 ; 2.75 ; 2.74
17/10/2017 12:00 ; 2.86 ; 2.75
17/10/2017 00:00 ; 2.8 ; 2.74
18/10/2017 12:00 ; 2.97 ; 2.75
18/10/2017 00:00 ; 2.9 ; 2.75
19/10/2017 12:00 ; 3.09 ; 2.8
19/10/2017 00:00 ; 3.01 ; 2.75
20/10/2017 12:00 ; 3.14 ; 3.01
20/10/2017 00:00 ; 3.09 ; 2.93
21/10/2017 12:00 ; 3.11 ; 3.11
21/10/2017 00:00 ; 3.15 ; 3.11
22/10/2017 12:00 ; 3.18 ; 3.13
22/10/2017 00:00 ; 3.16 ; 3.11
23/10/2017 12:00 ; 3.19 ; 3.18
23/10/2017 00:00 ; 3.18 ; 3.16
24/10/2017 12:00 ; 3.2 ; 3.18
24/10/2017 00:00 ; 3.18 ; 3.18
25/10/2017 12:00 ; 3.19 ; 3.18
25/10/2017 00:00 ; 3.17 ; 3.18
26/10/2017 12:00 ; 3.21 ; 3.18
26/10/2017 00:00 ; 3.18 ; 3.18
27/10/2017 12:00 ; 3.22 ; 3.16
27/10/2017 00:00 ; 3.19 ; 3.16
28/10/2017 12:00 ; 3.23 ; 3.21
28/10/2017 00:00 ; 3.22 ; 3.19
29/10/2017 12:00 ; 3.27 ; 3.21
29/10/2017 00:00 ; 3.23 ; 3.21
30/10/2017 12:00 ; 3.31 ; 3.25
30/10/2017 00:00 ; 3.26 ; 3.24
31/10/2017 12:00 ; 3.34 ; 3.31
31/10/2017 00:00 ; 3.29 ; 3.25
01/11/2017 12:00 ; 3.36 ; 3.32
01/11/2017 00:00 ; 3.32 ; 3.31
02/11/2017 12:00 ; 3.4 ; 3.34
02/11/2017 00:00 ; 3.36 ; 3.32
03/11/2017 12:00 ; 3.5 ; 3.36
03/11/2017 00:00 ; 3.45 ; 3.34
04/11/2017 12:00 ; 3.52 ; 3.46
04/11/2017 00:00 ; 3.5 ; 3.42
05/11/2017 12:00 ; 3.52 ; 3.5
05/11/2017 00:00 ; 3.51 ; 3.47
06/11/2017 12:00 ; 3.54 ; 3.5
06/11/2017 00:00 ; 3.51 ; 3.5
07/11/2017 12:00 ; 3.55 ; 3.51
07/11/2017 00:00 ; 3.55 ; 3.5
08/11/2017 12:00 ; 3.6 ; 3.53
08/11/2017 00:00 ; 3.54 ; 3.51
09/11/2017 12:00 ; 3.62 ; 3.55
09/11/2017 00:00 ; 3.58 ; 3.53
10/11/2017 12:00 ; 3.64 ; 3.59
10/11/2017 00:00 ; 3.62 ; 3.58
11/11/2017 12:00 ; 3.68 ; 3.62
11/11/2017 00:00 ; 3.65 ; 3.59
12/11/2017 12:00 ; 3.72 ; 3.62
12/11/2017 00:00 ; 3.68 ; 3.62
13/11/2017 12:00 ; 3.79 ; 3.64
13/11/2017 00:00 ; 3.73 ; 3.62
14/11/2017 12:00 ; 3.84 ; 3.74
14/11/2017 00:00 ; 3.78 ; 3.7
15/11/2017 12:00 ; 3.87 ; 3.78
15/11/2017 00:00 ; 3.83 ; 3.74
16/11/2017 12:00 ; 3.85 ; 3.82
16/11/2017 00:00 ; 3.77 ; 3.78
17/11/2017 12:00 ; 3.88 ; 3.85
17/11/2017 00:00 ; 3.86 ; 3.82
18/11/2017 12:00 ; 3.89 ; 3.88
18/11/2017 00:00 ; 3.85 ; 3.85
19/11/2017 12:00 ; 3.94 ; 3.88
19/11/2017 00:00 ; 3.91 ; 3.88
20/11/2017 12:00 ; 3.96 ; 3.88
20/11/2017 00:00 ; 3.93 ; 3.88
21/11/2017 12:00 ; 3.99 ; 3.95
21/11/2017 00:00 ; 3.95 ; 3.9
22/11/2017 12:00 ; 3.99 ; 3.95
22/11/2017 00:00 ; 4 ; 3.95
23/11/2017 12:00 ; 4.02 ; 3.93
23/11/2017 00:00 ; 3.96 ; 3.95
24/11/2017 12:00 ; 3.97 ; 3.96
24/11/2017 00:00 ; 3.97 ; 3.93
25/11/2017 12:00 ; 3.98 ; 3.96
25/11/2017 00:00 ; 3.95 ; 3.96
26/11/2017 12:00 ; 3.98 ; 3.98
26/11/2017 00:00 ; 3.95 ; 3.96
27/11/2017 12:00 ; 3.97 ; 3.91
27/11/2017 00:00 ; 3.95 ; 3.98
28/11/2017 12:00 ; 3.94 ; 3.91
