fuerza; velocidad; alimentacion
2.70; 125; 0.015
2.78; 125; 0.015
2.83; 200; 0.015
2.86; 200; 0.015
2.45; 125; 0.03
2.49; 125; 0.03
2.85; 200; 0.03
2.80; 200; 0.03
2.60; 125; 0.045
2.72; 125; 0.045
2.86; 200; 0.045
2.87; 200; 0.045
2.75; 125; 0.06
2.86; 125; 0.06
2.94; 200; 0.06
2.88; 200; 0.06
