FechayHora,Pegasus,Arduino
6/12/2016 7:08,0.9,1.03
6/12/2016 7:14,0,0
6/12/2016 7:19,2.9,1.8
6/12/2016 7:25,0,0
6/12/2016 7:31,0,0
6/12/2016 7:36,0,0
6/12/2016 7:42,0,0
6/12/2016 7:47,0,0
6/12/2016 7:53,0,0
6/12/2016 7:59,1.9,0
6/12/2016 8:04,1.9,2.79
6/12/2016 8:10,0.9,1
6/12/2016 8:15,0,0.38
6/12/2016 8:21,0.9,1.73
6/12/2016 8:27,0,0.38
6/12/2016 8:32,0.9,3.14
6/12/2016 8:38,0.9,1
6/12/2016 8:43,0,0.79
6/12/2016 8:49,0,0.79
6/12/2016 8:55,2.9,1
6/12/2016 9:00,0,0
6/12/2016 9:06,0,0.38
6/12/2016 9:11,0,0
6/12/2016 9:17,0,0.73
6/12/2016 9:22,0,0.08
6/12/2016 9:28,0,0.73
6/12/2016 9:34,0,0.08
6/12/2016 9:39,0,0.73
6/12/2016 9:45,0.9,2.43
6/12/2016 9:50,0,0.38
6/12/2016 9:56,0,0.43
6/12/2016 10:02,0.9,1.03
6/12/2016 10:07,2.9,1
6/12/2016 10:13,0,0.03
6/12/2016 10:18,0,1.43
6/12/2016 10:24,0,0.38
6/12/2016 10:30,0,1.79
6/12/2016 10:35,1.9,2.43
6/12/2016 10:41,3.9,2.08
6/12/2016 10:46,1.9,1.6
6/12/2016 10:52,3.9,1
6/12/2016 10:58,0,0.38
6/12/2016 11:03,1.9,2.79
6/12/2016 11:09,0,1.08
6/12/2016 11:14,0.9,2.08
6/12/2016 11:20,0,0.03
6/12/2016 11:26,1.9,2.79
6/12/2016 11:31,2.9,3.14
6/12/2016 11:37,0,0
6/12/2016 11:42,0,1.08
6/12/2016 11:48,1.9,1
6/12/2016 11:54,0,0
6/12/2016 11:59,0,0
6/12/2016 12:05,0,0
6/12/2016 12:10,0,0.03
6/12/2016 12:16,0,0.73
6/12/2016 12:22,1.9,1
6/12/2016 12:27,0,0
6/12/2016 12:33,0,0.73
6/12/2016 12:38,0,0.73
6/12/2016 12:44,5.9,5.25
6/12/2016 12:50,0,1.43
6/12/2016 12:55,7.8,4.54
6/12/2016 13:01,0.9,2.79
6/12/2016 13:07,3.9,7
6/12/2016 13:12,0,1.43
6/12/2016 13:18,0,1.08
6/12/2016 13:23,4.9,3.84
6/12/2016 13:29,10.8,4.19
6/12/2016 13:35,6.8,2.79
6/12/2016 13:40,2.9,2.08
6/12/2016 13:46,0,2.14
6/12/2016 13:51,5.9,6.3
6/12/2016 13:57,2.9,1.03
6/12/2016 14:03,4.9,3.49
6/12/2016 14:08,5.9,1
6/12/2016 14:14,6.8,7.71
6/12/2016 14:19,2.9,4.9
6/12/2016 14:25,2.9,1.03
6/12/2016 14:31,7.8,5.25
6/12/2016 14:36,5.9,4.19
6/12/2016 14:42,7.8,3.14
6/12/2016 14:48,1.9,2.43
6/12/2016 14:53,0.9,2.08
6/12/2016 14:59,1.9,1.73
6/12/2016 15:04,3.9,1
6/12/2016 15:10,0.9,1.03
6/12/2016 15:16,7.8,3.49
6/12/2016 15:21,6.8,4.54
6/12/2016 15:27,1.9,2.08
6/12/2016 15:32,3.9,1
6/12/2016 15:38,0,0
6/12/2016 15:44,0,2.14
6/12/2016 15:49,4.9,2.79
6/12/2016 15:55,0.9,4.54
6/12/2016 16:01,1.9,1.73
6/12/2016 16:06,0,5.65
6/12/2016 16:12,0,1.79
6/12/2016 16:17,5.9,1
6/12/2016 16:23,0,2.43
6/12/2016 16:29,3.9,1
6/12/2016 16:34,0,1.08
6/12/2016 16:40,2.9,2.43
6/12/2016 16:46,3.9,1.73
6/12/2016 16:51,0,1.79
6/12/2016 16:57,0.9,2.79
6/12/2016 17:02,0.9,1.38
6/12/2016 17:08,2.9,2.08
6/12/2016 17:14,1.9,1
6/12/2016 17:19,1.9,2.43
6/12/2016 17:25,0,0
6/12/2016 17:31,3.9,1
6/12/2016 17:36,0,0
6/12/2016 17:42,0,0
6/12/2016 17:47,0,0.38
6/12/2016 17:53,0.9,1.03
6/12/2016 17:59,0,0
6/12/2016 18:04,2.9,1.38
6/12/2016 18:10,4.9,1
6/12/2016 18:16,3.9,1
6/12/2016 18:21,3.9,3.49
6/12/2016 18:27,2.9,3.14
6/12/2016 18:32,0,1.79
6/12/2016 18:38,4.9,1.73
6/12/2016 18:44,0,1
6/12/2016 18:49,0,0.38
6/12/2016 18:55,1.9,1.73
6/12/2016 19:00,0.9,1
6/12/2016 19:06,0,0
6/12/2016 19:12,0,0
6/12/2016 19:17,0,0
6/12/2016 19:23,0,0
6/12/2016 19:29,0,0
6/12/2016 19:34,0,0
6/12/2016 19:40,0,0
6/12/2016 19:45,0,0
6/12/2016 19:51,0,0
6/12/2016 19:57,0,0
6/12/2016 20:02,0,0
6/12/2016 20:08,0,0
6/12/2016 20:13,0,0
6/12/2016 20:19,0,0
6/12/2016 20:25,0,0
6/12/2016 20:30,0,0
6/12/2016 20:36,0,0
6/12/2016 20:41,0,0
6/12/2016 20:47,0,0
6/12/2016 20:53,0,0
6/12/2016 20:58,0,0
6/12/2016 21:04,0,0
6/12/2016 21:09,0,0
6/12/2016 21:15,0,0
6/12/2016 21:20,0,0
6/12/2016 21:26,0,0
6/12/2016 21:32,0,0
6/12/2016 21:37,0,0
6/12/2016 21:43,0,0
6/12/2016 21:48,0,0
6/12/2016 21:54,0,0
6/12/2016 22:00,0,0
6/12/2016 22:05,0,0.38
6/12/2016 22:11,0.9,1
6/12/2016 22:16,0,0
6/12/2016 22:22,0,0
6/12/2016 22:28,0,0
6/12/2016 22:33,0,0
6/12/2016 22:39,0,0
6/12/2016 22:44,0,0
6/12/2016 22:50,0,0
6/12/2016 22:56,0,0
6/12/2016 23:01,0,0
6/12/2016 23:07,0,0
6/12/2016 23:12,0,0
6/12/2016 23:18,0,0
6/12/2016 23:23,0,0
6/12/2016 23:29,0,0
6/12/2016 23:35,0,0
6/12/2016 23:40,0,0
6/12/2016 23:46,0,0
6/12/2016 23:51,0,0
6/12/2016 23:57,0,0
7/12/2016 0:03,0,0
7/12/2016 0:08,0,0
7/12/2016 0:14,0,0
7/12/2016 0:19,0,0
7/12/2016 0:25,0,0
7/12/2016 0:31,0,0
7/12/2016 0:36,0,0
7/12/2016 0:42,0,0
7/12/2016 0:47,0,0
7/12/2016 0:53,0,0
7/12/2016 0:59,0,0
7/12/2016 1:04,0,0
7/12/2016 1:10,0,0
7/12/2016 1:15,0,0
7/12/2016 1:21,0,0
7/12/2016 1:26,0,0
7/12/2016 1:32,0,0
7/12/2016 1:38,0,0
7/12/2016 1:43,0,0
7/12/2016 1:49,0,0
7/12/2016 1:54,0,0
7/12/2016 2:00,0,0
7/12/2016 2:06,0,0
7/12/2016 2:11,0,0
7/12/2016 2:17,0,0
7/12/2016 2:22,0,0
7/12/2016 2:28,0,0
7/12/2016 2:34,0,0
7/12/2016 2:39,0,0
7/12/2016 2:45,0,0
7/12/2016 2:50,0,0
7/12/2016 2:56,0,0
7/12/2016 3:02,0,0
7/12/2016 3:07,0,0
7/12/2016 3:13,0,0
7/12/2016 3:18,0,0
7/12/2016 3:24,0,0
7/12/2016 3:29,0,0
7/12/2016 3:35,0,0
7/12/2016 3:41,0,0
7/12/2016 3:46,0,0
7/12/2016 3:52,0,0
7/12/2016 3:57,0,0
7/12/2016 4:03,0,0
7/12/2016 4:09,0,0
7/12/2016 4:14,0,0
7/12/2016 4:20,0,0
7/12/2016 4:25,0,0
7/12/2016 4:31,0,0
7/12/2016 4:37,0,0
7/12/2016 4:42,0,0
7/12/2016 4:48,0,0
7/12/2016 4:53,0,0
7/12/2016 4:59,0,0
7/12/2016 5:04,0,0
7/12/2016 5:10,0,0
7/12/2016 5:16,0,0
7/12/2016 5:21,0,0
7/12/2016 5:27,0,0
7/12/2016 5:32,0,0
7/12/2016 5:38,0,0
7/12/2016 5:44,0,0
7/12/2016 5:49,0,0
7/12/2016 5:55,0,0
